kernel, batch_size, test_error, time, imgs
myxnor, 1, 0.0, 0.0254306554794, 39.3226199305
myxnor, 10, 0.0, 0.0257171630859, 388.845377952
myxnor, 100, 0.0, 0.0288893222809, 3461.48653221
myxnor, 1000, 0.8999999612569809, 0.0704758167267, 14189.2644377
myxnor, 10000, 0.9300000034272671, 0.474240422249, 21086.3509959
xnor, 1, 0.0, 0.0282324790955, 35.4201980145
xnor, 10, 0.0, 0.0281143426895, 355.690336084
xnor, 100, 0.0, 0.0318935155869, 3135.43358767
xnor, 1000, 0.8999999612569809, 0.0788798332214, 12677.5115915
xnor, 10000, 0.9300000034272671, 0.527181816101, 18968.7877969
theano, 1, 0.0, 0.002467918396, 405.1997836
theano, 10, 0.0, 0.00481922626495, 2075.02189153
theano, 100, 0.0, 0.0118654251099, 8427.84806057
theano, 1000, 0.8999999612569809, 0.0677244663239, 14765.7125154
theano, 10000, 0.9300000034272671, 0.638901042938, 15651.876156
